11,5
10,4
9,5
9,5
9,6
8,6
8,7
7,7
6,8
7,9
7,10
5,10
5,11
6,12
5,12
5,13
5,14
4,14
5,15
5,16
5,16
4,17
5,18
6,18
5,19
5,19
5,21
6,21
6,22
5,22
7,23
6,24
7,24
7,25
8,26
8,26
9,27
9,27
11,28
10,28
11,29
11,28
13,30
13,29
14,30
14,30
16,30
16,31
17,30
17,31
18,31
18,30
19,30
20,31
21,31
20,30
22,30
23,30
24,29
24,30
25,29
25,28
26,28
26,28
27,27
28,27
29,27
29,26
29,25
30,25
30,23
30,23
30,22
31,22
30,21
31,20
31,21
31,19
32,19
31,17
33,18
32,16
32,16
32,15
31,14
32,13
31,13
31,12
32,11
31,10
31,10
30,9
30,8
29,8
29,7
29,7
29,6
27,5
28,5
26,4
26,4
25,3
25,4
31,16
30,17
29,17
29,16
30,15
29,13
30,11
28,14
27,10
26,10
25,10
26,11
27,13
28,14
27,14
27,14
23,11
22,11
23,11
24,11
23,12
23,13
24,13
25,12
25,12
25,12
25,13
26,13
27,14
27,14
26,14
26,14
25,14
25,14
25,14
23,14
24,14
23,15
22,14
22,14
20,12
20,13
22,16
22,16
22,15
22,15
23,15
24,16
24,16
25,16
25,16
25,16
26,16
26,16
26,16
26,16
27,16
27,16
26,17
26,18
27,17
27,17
28,18
28,19
28,19
28,19
28,20
27,20
27,21
26,19
26,20
25,19
25,19
24,20
24,20
23,20
24,19
24,19
24,16
24,16
24,17
24,17
24,17
24,17
24,18
24,18
23,18
22,18
22,20
22,17
22,18
21,17
21,18
21,18
19,19
20,20
20,16
19,17
19,17
12,9
10,10
11,12
9,12
8,13
7,13
8,15
8,15
8,15
8,16
9,17
9,16
9,16
9,15
9,14
10,15
10,15
10,16
10,16
10,15
10,15
11,15
11,14
11,14
11,14
11,13
12,13
13,12
13,12
13,11
14,12
15,12
15,12
14,12
14,13
14,13
14,13
13,13
13,13
12,13
15,13
14,14
13,14
13,14
12,14
13,14
13,15
12,15
12,15
11,16
12,15
12,16
12,16
12,16
11,16
11,16
11,17
11,17
11,17
11,18
11,18
11,18
10,18
10,19
7,19
10,20
9,20
10,20
10,22
11,19
12,19
13,20
13,20
14,20
14,21
13,21
12,18
13,18
14,18
14,18
13,16
13,16
13,17
14,16
14,16
14,16
15,16
15,16
15,16
15,15
15,14
16,16
17,15
17,18
16,17
15,17
15,17
15,18
